شناسه,نوع,شناسه محصول,نام,منتشر شده,ویژه است؟,کلاس مالیاتی,در انبار؟,انبار,قیمت اصلی,دسته‌ها,مادر,موقعیت قرارگیری,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,ویژگی پیشفرض,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,وزن,درازا (cm),پهنا (cm),بلندا (cm),Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
4657,variable,746708,سفره 8 نفره,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,صورتی پاستیلی,1,1,صورتی پاستیلی,brand,×,1,1,220,150,85,,ظرفیت,8نفر,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46571,variation,0746708-01,سفره 8 نفره - صورتی پاستیلی,1,0,parent,1,10,18100,,746708,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4666,variable,1340101,سفره یکبار مصرف پنگوئن گلدار,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,سفید,1,1,سفید,brand,×,1,1,240,,100,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46661,variation,1340101-01,سفره یکبار مصرف پنگوئن گلدار - سفید,1,0,parent,1,10,7100,,1340101,0,رنگ,سفید,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4669,variable,2624301,سفره کاغذی باراد,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, سفید, سبز",1,1,صورتی پاستیلی,brand,×,1,1,220,100,2000,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46691,variation,2624301-01,سفره کاغذی باراد - صورتی پاستیلی,1,0,parent,1,10,17500,,2624301,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46692,variation,2624301-02,سفره کاغذی باراد - سفید,1,0,parent,1,10,17500,,2624301,2,رنگ,سفید,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46693,variation,2624301-03,سفره کاغذی باراد - سبز,1,0,parent,1,10,17500,,2624301,3,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4670,variable,2624401,سفره یکبار 30 متری,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, سبز, نارنجی, لیمویی",1,1,صورتی پاستیلی,brand,×,1,1,150,100,3000,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46701,variation,2624401-01,سفره یکبار 30 متری - صورتی پاستیلی,1,0,parent,1,10,5000,,2624401,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46702,variation,2624401-02,سفره یکبار 30 متری - سبز,1,0,parent,1,10,5000,,2624401,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46703,variation,2624401-03,سفره یکبار 30 متری - نارنجی,1,0,parent,1,10,5000,,2624401,3,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46704,variation,2624401-04,سفره یکبار 30 متری - لیمویی,1,0,parent,1,10,5000,,2624401,4,رنگ,لیمویی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4671,variable,2624402,سفره یکبار 50 متری,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, سبز, نارنجی, لیمویی",1,1,صورتی پاستیلی,brand,×,1,1,230,100,5000,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46711,variation,2624402-01,سفره یکبار 50 متری - صورتی پاستیلی,1,0,parent,1,10,8100,,2624402,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46712,variation,2624402-02,سفره یکبار 50 متری - سبز,1,0,parent,1,10,8100,,2624402,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46713,variation,2624402-03,سفره یکبار 50 متری - نارنجی,1,0,parent,1,10,8100,,2624402,3,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46714,variation,2624402-04,سفره یکبار 50 متری - لیمویی,1,0,parent,1,10,8100,,2624402,4,رنگ,لیمویی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4673,variable,2624405,سفره یکبار مصرف افرا حلما,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, سبز, نارنجی, لیمویی",1,1,صورتی پاستیلی,brand,×,1,1,190,100,3000,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46731,variation,2624405-01,سفره یکبار مصرف افرا حلما - صورتی پاستیلی,1,0,parent,1,10,4800,,2624405,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46732,variation,2624405-02,سفره یکبار مصرف افرا حلما - سبز,1,0,parent,1,10,4800,,2624405,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46733,variation,2624405-03,سفره یکبار مصرف افرا حلما - نارنجی,1,0,parent,1,10,4800,,2624405,3,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46734,variation,2624405-04,سفره یکبار مصرف افرا حلما - لیمویی,1,0,parent,1,10,4800,,2624405,4,رنگ,لیمویی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4674,variable,2624406,سفره یکبار 100 متری,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, آبی, نارنجی, لیمویی",1,1,صورتی پاستیلی,brand,×,1,1,360,100,10000,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46741,variation,2624406-01,سفره یکبار 100 متری - صورتی پاستیلی,1,0,parent,1,10,10700,,2624406,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46742,variation,2624406-02,سفره یکبار 100 متری - آبی,1,0,parent,1,10,10700,,2624406,2,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46743,variation,2624406-03,سفره یکبار 100 متری - نارنجی,1,0,parent,1,10,10700,,2624406,3,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46744,variation,2624406-04,سفره یکبار 100 متری - لیمویی,1,0,parent,1,10,10700,,2624406,4,رنگ,لیمویی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
